Датасет,SGC (mean ± std),GCN (mean ± std),GAT (mean ± std)
Roman-empire,40.83 ± 0.78,47.13 ± 0.51,49.07 ± 0.76
Amazon-ratings,42.09 ± 0.57,49.22 ± 0.65,47.52 ± 1.05
